Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L12     S2      
11-19   3       1.8212  0       0       0       62.936  31.589  99.67   5.6     0.5002  
11-20   8       1.4743  0       0       0       34.925  -6.261  99.46   5.4996  0.4     
11-21   12      1.3915  0       0       0       49.727  16.548  99.61   5.5758  0.4816  
11-22   30      1.0559  0       0       0       47.543  1.0018  99.54   5.6     0.4096  
11-23   20      1.2709  0       0       0       46.079  10.847  99.56   5.4965  0.7343  
11-24   5       1.5918  0       0       0       55.964  24.084  99.64   5.5113  0.5269  
11-25   2       2.3221  0       0       0       70.432  47.259  99.73   5.4987  0.5199  
11-26   11      1.3974  0       0       0       50.129  16.829  99.61   5.5927  0.5145  
11-27   25      1.2751  0       0       0       39.234  0.716   99.5    5.576   0.4498  
11-28   10      1.4244  0       0       0       35.205  -1.921  99.55   5.5204  0.4411  
11-29   16      1.2781  0       0       0       45.544  10.862  99.58   5.4706  0.4199  
11-30   27      1.228   0       0       0       42.159  5.2676  99.53   5.6     0.471   
---------------------------------------------------------------------
Average :       1.451   0       0       0       47.13   10.65   99.56   
Optimum :       1.056   0       0       0       50.13   -0.06   99.79   
 
