Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L12     S2      
3-15    12      1.6555  0       0       0       58.292  26.225  99.64   5.5961  0.4943  
3-16    11      1.7369  0       0       0       35.265  -18.28  99.41   5.5344  0.4052  
3-17    3       2.536   0       0       0       76.541  53.44   99.75   5.5121  0.6958  
3-18    4       2.536   0       0       0       76.541  53.44   99.75   5.5121  0.6958  
3-19    8       1.8629  0       0       0       54.014  32.61   99.69   5.3633  0.7172  
3-20    23      1.2681  0       0       0       43.056  8.5921  99.59   5.4188  0.5712  
3-21    24      1.2681  0       0       0       43.056  8.5921  99.59   5.4188  0.5712  
3-22    25      1.2283  0       0       0       42.781  6.2154  99.54   5.5129  0.4875  
3-23    9       1.7611  0       0       0       58.369  29.831  99.7    5.4265  0.6505  
3-24    13      1.6531  0       0       0       32.384  -10.36  99.44   5.4225  0.5006  
3-25    10      1.8349  0       0       0       49.504  30.66   99.69   5.2487  0.8     
3-26    7       2.0497  0       0       0       28.849  -18.11  99.34   5.4447  0.4584  
3-27    5       2.3653  0       0       0       78.866  47.691  99.74   5.6     0.5855  
3-28    29      1.1185  0       0       0       45.181  -2.267  99.51   5.6     0.4     
3-29    2       2.6335  0       0       0       79.648  56.178  99.76   5.5199  0.7043  
3-30    17      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
---------------------------------------------------------------------
Average :       1.689   0       0       0       48.1    11.36   99.56   
Optimum :       1.102   0       0       0       50.25   -1.66   99.76   
 
4-1     22      1.2362  0       0       0       41.681  4.9828  99.54   5.4847  0.5056  
4-2     21      1.2361  0       0       0       42.82   6.7104  99.55   5.4895  0.508   
4-3     27      1.1019  0       0       0       45.669  -1.663  99.53   5.5904  0.4094  
4-4     5       2.4027  0       0       0       78.859  48.951  99.76   5.5387  0.6448  
4-5     19      1.2681  0       0       0       43.056  8.5921  99.59   5.4188  0.5712  
